ABLEAK,ABTRG,BELTRG,BFORC,DUR,DV,EV1,EV2,EV3,PDOF_H,PMAXF,SABPR,SCFRC,Chest Deflection [mm],HIC 15,Head Acc,Neck Force_z [kN]
1.461696863,22.90476608,6.519695759,0.0014096,100,60,0.01,0.01,0.01,0,1.165557981,0.00128165,0.00578594,-42.718544,326.19398,0.70457619,1.2189125
1.198286533,16.43778419,14.58913803,0.00145556,100,60,0.01,0.01,0.01,0,1.111442447,0.00138509,0.00977892,-43.063358,252.96316,0.57009608,1.0474126
0.607026339,16.70453835,9.283922195,0.00101066,100,60,0.01,0.01,0.01,0,1.78248322,0.00121776,0.01023176,-39.03849,250.51816,0.52232766,0.99034977
1.045063615,21.47099304,7.174607754,0.00104469,100,60,0.01,0.01,0.01,0,1.908857822,0.00166354,0.00555465,-42.548859,310.53798,0.64391512,1.1940919
0.510712981,16.95869255,11.91516972,0.00163921,100,60,0.01,0.01,0.01,0,1.222762465,0.00139886,0.00855507,-48.853325,543.41641,0.81206274,1.4197516
1.064995885,16.60570908,10.22014618,0.0006874,100,60,0.01,0.01,0.01,0,1.991264462,0.00164542,0.00988316,-36.120018,291.18448,0.78472418,1.0102724
1.292337775,16.23661232,10.78522587,0.00134555,100,60,0.01,0.01,0.01,0,2.130429745,0.00135457,0.00630097,-41.16716,190.04848,0.55631381,0.67756873
0.760005295,21.41769409,8.255625725,0.00079002,100,60,0.01,0.01,0.01,0,1.687291384,0.00114904,0.01184316,-36.249378,587.55676,0.88545734,1.2956029
1.448015571,18.78123474,13.80665207,0.00153986,100,60,0.01,0.01,0.01,0,2.348503351,0.00145411,0.0102677,-42.053509,243.20516,0.53611624,0.76269442
0.993292809,20.55495453,13.42497158,0.00125157,100,60,0.01,0.01,0.01,0,1.519082785,0.00148709,0.0079876,-49.258518,450.87067,0.7022602,1.2551951
1.275837183,18.17941284,13.64776134,0.00150352,100,60,0.01,0.01,0.01,0,1.365756631,0.00169322,0.00724463,-46.890575,426.9597,0.73243362,1.0878769
1.439516068,17.14955711,6.880910397,0.00073051,100,60,0.01,0.01,0.01,0,1.348284602,0.00117107,0.00946175,-29.499367,146.42547,0.46953791,1.0813838
