Point;A2OFRC;B2OFRC;BELTLL1;DABPRES;DABRAD;DUR;DV;EV1;EV2;EV3;FTRIGG;IP2OFRC;KNEEFRC;PDOF_H;PTFORCE;RIMFRC;S2OFRC;SLIPFRC;STWANGLE;STWCOMP;STWTRANS;YAWSF;Risk(45yrs|2ribfx)(%);LOGIT(risk);L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;R1;R2;R3;R4;R5;R6;R7;R8;R9;R10;R11;R12
1;0.348;0.394;5.8;1.25;320;106;25;0.111;-0.445;0.166;28;0.342;12.4;-11.1;2.16;1.95;0.388;0.211;24.7;3.41;25.4;0.00698;0.03;-4.171987107;0.340632047;0.6023956;0.924392883;0.892883539;0.561192445;0.387488701;0.315947365;0.335972221;0.448254775;0.565824145;0.315747294;0.190612348;0.523027824;0.267451815;0.38305528;0.429129042;0.500740902;0.680565275;0.764371222;0.670397142;0.460708188;0.26389074;0.166062743;0.188223121
2;0.384;0.298;3.64;1.53;326;85.3;21.1;-1.56;-0.394;0.668;6.94;0.246;7.03;-3.41;2.11;2.53;0.224;0.255;24.8;5.05;-5.12;0.00708;0.02;-8.052294111;0.273717567;0.66127996;0.778224599;0.781291351;0.565640396;0.350677292;0.287310965;0.300635723;0.323724165;0.348278787;0.409866683;0.298816361;0.43116184;0.225692498;0.422138022;0.504307589;0.52911872;0.607164344;0.730529195;0.70392685;0.507798651;0.26029686;0.292000477;0.173770904
3;0.347;0.248;4.27;1.3;344;121;36.3;1.65;-0.865;-0.51;25.1;0.291;15.6;4.01;1.97;2.65;0.336;0.162;22.9;4.53;-8.75;0.00735;1.52;-8.65783812;0.371490722;0.783940312;1.576345973;1.722211018;0.8006908;0.469789095;0.375423743;0.396693032;0.430361181;0.310988794;0.203027716;0.215691235;0.467944564;0.27180675;0.382211315;0.429657148;0.495172152;0.654114317;0.892449729;1.212192886;0.806366466;0.357985287;0.238303305;0.220646104
4;0.333;0.229;4.46;1.2;308;113;34.4;-1.31;0.597;0.121;28.4;0.229;9.3;-36.4;2.07;2.09;0.259;0.0467;22.2;4.38;23.5;0.00938;3.38;-3.354685858;1.096081268;0.909624342;1.619219221;0.7048395;0.587897608;0.643759919;0.60006557;1.285805646;1.851314493;1.143988036;0.651670201;0.283759204;0.638731755;0.4022968;0.740257464;0.862058252;0.826002937;0.793693308;0.719163101;0.690624025;0.458781933;0.411580782;0.269086636;0.549542438
5;0.389;0.246;4.35;1.43;297;114;44.7;1.53;0.956;-0.446;11.5;0.216;5.67;8.7;1.38;3.21;0.306;0.192;25.6;4.14;15.7;0.00861;15.16;-1.722865633;0.495907525;0.87813437;1.670250297;2.081364207;0.870535709;0.616101222;0.522061856;0.501717115;0.469686231;0.34370725;0.236731232;0.214396557;0.333354645;0.270829792;0.435838196;0.427026441;0.575617515;0.778801832;1.488114242;2.004534565;1.894833706;0.849020947;0.351995672;0.398567505
6;0.35;0.226;4.41;1.27;363;109;53.8;2.85;-0.726;-0.374;27;0.214;5.16;-27.8;1.74;2.57;0.4;0.281;21.5;4.02;14.6;0.0072;71.96;0.941866552;1.897690818;0.679440657;1.478648093;1.228314266;1.063710731;0.886256341;1.136136521;3.016914241;2.573270537;2.829584666;1.380643621;0.553334272;0.916594919;0.543278689;0.907006953;1.011187676;1.076728385;1.146837138;0.942676049;0.759010436;0.583997509;0.587081024;0.302053266;0.498796534
7;0.369;0.328;4.94;1.05;323;133;17.4;-0.897;-0.238;0.756;6.62;0.363;6.68;0.427;1.66;3.64;0.225;0.137;25.1;3.53;-10.6;0.00241;0;-12.09524653;0.263619749;0.474694138;0.618105568;0.519191846;0.310965301;0.199581566;0.177095167;0.187631545;0.191058754;0.131680653;0.195286283;0.132620218;0.217502122;0.131820748;0.134677126;0.170529413;0.254556281;0.395669043;0.494078221;0.426860852;0.250459649;0.141782244;0.121906924;0.151615427
8;0.306;0.389;4.64;1.26;343;128;34.6;0.0557;-0.741;0.521;37.4;0.272;12.9;-5.37;1.87;3.14;0.209;0.259;23.8;5;-25.8;0.00591;0.72;-4.929286299;0.366399274;0.737312762;1.548634563;1.458701119;0.702904118;0.552970637;0.403714413;0.459929788;0.454905303;0.348227471;0.214023003;0.227151392;0.624657795;0.376479561;0.47260914;0.532970112;0.624876376;0.774056232;0.916069373;0.89380648;0.684057502;0.279011484;0.218727579;0.194825314
9;0.264;0.259;5.05;1.31;345;93.6;21.9;0.179;-2.18;-0.598;4.87;0.237;11;-35.7;1.16;2.71;0.329;0.139;25.2;3.39;-27.9;0.0069;0.07;-7.213524625;0.530798035;0.549182156;1.031251065;0.681891618;0.516584702;0.439861463;0.348144909;0.347648654;0.51243715;0.773347914;1.064481772;0.27230077;0.500156824;0.258207694;0.304680364;0.51084687;0.625707256;0.717413472;0.673242984;0.55030454;0.269019441;0.283979625;0.344825815;0.166226469
10;0.355;0.399;4.55;1.18;347;117;28.8;-0.607;-1.09;0.265;14.1;0.37;8.74;0.362;2.41;2.41;0.241;0.181;23.7;4.07;19.3;0.00791;0.24;-6.022403829;0.250984379;0.788860023;1.292478107;1.214988995;0.588469906;0.392524945;0.332189281;0.357268401;0.394729013;0.296032359;0.260011898;0.236291881;0.377073791;0.220551877;0.274686492;0.334878149;0.481100753;0.733591849;0.921027828;0.92476476;0.671559293;0.27699268;0.214586314;0.184285687
